lead_id,origin,first_contact_date,first_contact_month,is_converted,num_days_to_convert
dac32acd4db4c29c230538b72f8dd87d,social,2018-02-01,2018-02,0.0,
8c18d1de7f67e60dbd64e3c07d7e9d5d,paid_search,2017-10-20,2017-10,0.0,
b4bc852d233dfefc5131f593b538befa,organic_search,2018-03-22,2018-03,0.0,
6be030b81c75970747525b843c1ef4f8,email,2018-01-22,2018-01,0.0,
5420aad7fec3549a85876ba1c529bd84,organic_search,2018-02-21,2018-02,1.0,5.0
28bdfd5f057764b54c38770f95c69f2f,organic_search,2018-01-14,2018-01,0.0,
126a0d10becbaafcb2e72ce6848cf32c,email,2018-05-15,2018-05,0.0,
f76136f54d14a3345951f25b7932366b,email,2018-05-24,2018-05,0.0,
2f838cade4a6012a6cb1016d1d8d95ed,organic_search,2017-11-10,2017-11,0.0,
7281942387a1a0c3f72a50a8b0bb0920,social,2017-12-25,2017-12,0.0,
c3764ab3fed8fbf556c87fdeaea744a9,paid_search,2018-04-30,2018-04,0.0,
a555fb36b9368110ede0f043dfc3b9a0,referral,2018-04-04,2018-04,1.0,34.0
988c9372560f30a5f28f92640bb2b3da,organic_search,2018-05-23,2018-05,0.0,
327174d3648a2d047e8940d7d15204ca,organic_search,2018-04-03,2018-04,1.0,63.0
a5448d7164426cc7f3260a7b2001e3e6,paid_search,2017-12-08,2017-12,0.0,
be8f254ef25c5a40ac8b395ed4fc6033,organic_search,2018-01-13,2018-01,0.0,
3183fc21acb07e30098c42484e12d697,direct_traffic,2018-01-15,2018-01,0.0,
8051b43253152a39fe9367c69b79b42b,organic_search,2018-02-23,2018-02,0.0,
443a4c031f05c42f729a1ff2ac219b5a,paid_search,2017-07-25,2017-07,0.0,
e1b036022a6aaa7d187caae163216533,organic_search,2017-07-13,2017-07,0.0,
4bdc2dfb783f8c24c6d0d032a623febc,organic_search,2018-04-14,2018-04,0.0,
6d1ca411fcbc6a21484877d59be651db,display,2017-12-31,2017-12,0.0,
b12b646e693cbf411f8eaae5204ffdfe,organic_search,2017-09-11,2017-09,0.0,
e3154fc901362537cc34b26fd18f0f05,referral,2018-05-29,2018-05,0.0,
f101b87d3b9adb48f2016bf059067ea2,organic_search,2018-05-02,2018-05,0.0,
a8b32485ea3dafd7c06f87afe4f7c6d2,social,2018-04-15,2018-04,0.0,
2f0bf07b716733d56ffa0b68cfe3823f,social,2018-05-08,2018-05,0.0,
676c0c9be43fd984c92b0ecfdab3c0d9,display,2017-12-31,2017-12,0.0,
5f62b80e297edbcbfb1bb211062834e9,paid_search,2018-01-26,2018-01,0.0,
b62db8fadd1b177cc5ed1d239d6e2f1e,organic_search,2018-02-22,2018-02,0.0,
f0b8024455e6c0cb3ab7495325afee5c,social,2018-05-11,2018-05,0.0,
2f20c4826f9fabdb206537363642dd65,paid_search,2018-04-18,2018-04,0.0,
65855f77bb6ee720c0a940b9cf8101a9,referral,2017-09-26,2017-09,0.0,
91ae48805e8e96055d454f043054059b,display,2018-03-07,2018-03,0.0,
365aa59e779547d7e081b220f8fa67ac,organic_search,2017-09-29,2017-09,0.0,
f5fee8f7da74f4887f5bcae2bafb6dd6,paid_search,2018-01-14,2018-01,1.0,3.0
82ade9609d9915ca5e830df04b7d90e2,referral,2018-01-03,2018-01,0.0,
1d833a78ef4b542f594ef2cd734e1d14,paid_search,2018-05-30,2018-05,0.0,
9cfc99e322c9ce9f0fcfe1843113b472,direct_traffic,2018-03-28,2018-03,0.0,
2b6319cb1c507418504e28bf285072ee,organic_search,2018-02-05,2018-02,0.0,
4c721b2017d5fb477659ba48277446de,organic_search,2018-02-17,2018-02,0.0,
ce8d8333fc3f225ab596b0505fbdb2cf,social,2018-04-19,2018-04,0.0,
fe629597eb47defc9ff1e96bbd47277c,direct_traffic,2018-04-05,2018-04,0.0,
656b60bbc8395b4e80dc1cc6a3cf1ef2,organic_search,2018-02-28,2018-02,0.0,
0e4b276ab6c5b327772e80cc543a0049,paid_search,2018-01-22,2018-01,0.0,
196a347f6fbe48ecb3c53a261119729e,email,2017-10-19,2017-10,0.0,
312ec7f8d4615d6dd78477a4f581c612,paid_search,2017-10-10,2017-10,0.0,
